lat,lon,name,female,male,wheelchair,operator,baby_facil,location
-37.818924455699296,144.9342385117904,"Public Toilet - Victoria Harbour, Shed 2 (North Wharf Road)",yes,yes,yes,City of Melbourne,no,"(-37.818924455699296, 144.9342385117904)"
-37.821720681669966,144.95557809313962,Public Toilet - Toilet 169 - Batman Park (2A Spencer Street),yes,yes,yes,City of Melbourne,no,"(-37.821720681669966, 144.95557809313962)"
-37.798064023886866,144.92110584392117,"Public Toilet - Toilet 173 - JJ Holland Park, Skate Park (113 Kensington Road)",yes,yes,yes,City of Melbourne,no,"(-37.798064023886866, 144.92110584392117)"
-37.790174410412384,144.94366905096865,Public Toilet - Toilet 131 - Royal Park (Flemington Rd - Near North Park Tennis Club),yes,yes,yes,City of Melbourne,no,"(-37.790174410412384, 144.94366905096865)"
-37.810035679928596,144.96990246330486,Public Toilet - Toilet 11 - Lonsdale Street (Opposite 88 Lonsdale Street),yes,yes,yes,City of Melbourne,no,"(-37.810035679928596, 144.96990246330486)"
-37.81203205502802,144.98307968055312,Public Toilet - Toilet 119 - Fitzroy Gardens Toilets (150 Clarendon Street),yes,yes,yes,City of Melbourne,no,"(-37.81203205502802, 144.98307968055312)"
-37.778936987424146,144.9604666156205,Public Toilet - Toilet 127 - Princes Park Royal Parade (near Park Street),yes,yes,yes,City of Melbourne,no,"(-37.778936987424146, 144.9604666156205)"
-37.821004779775386,144.97593322373976,Public Toilet - Toilet 111 - Birrarung Marr Speakers Corner,yes,yes,yes,City of Melbourne,no,"(-37.821004779775386, 144.97593322373976)"
-37.80786399579295,144.95794775127476,Public Toilet - Queen Victoria Market (465 Queen Street),yes,yes,yes,City of Melbourne,yes,"(-37.80786399579295, 144.95794775127476)"
-37.845206563009405,144.9826144313013,"Public Toilet - Toilet 42 - Fawkner Park, Opposite 55 Commercial Road",yes,yes,yes,City of Melbourne,no,"(-37.845206563009405, 144.9826144313013)"
-37.83825284124979,144.98438921994168,"Public Toilet - Toilet 44 - Fawkner Park, Opposite 150W Toorak Road",yes,yes,yes,City of Melbourne,no,"(-37.83825284124979, 144.98438921994168)"
