FID,rwe_id,rwe_type,rwe_closure_type,rwe_status,rwe_start_dt,rwe_end_dt,rwe_publish_text,subject_pref_rdname,start_pref_rdname,end_pref_rdname,lrs_start_locality,lrs_end_locality,lrs_rmaclass,lrs_srns,lrs_lga,lrs_ses_region,lrs_melway,lrs_vcsd,geom,works_type,traffic_delay,speed_limit,lanes_affected,days_applicable,dt_modified,dt_created,rwe_point,timestamp,processed_time
rwe_point.160371,160371,Road construction, entry/exit ramp closed,Pending,2018-06-28T11:30:00,2018-08-30T19:00:00,Full week including weekends - Sunday to Saturday daily works from 09:30 PM to 05:00 AM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,BULLA-TULLAMARINE OUT RAMP ON,BULLA-CALDER OUT RAMP ON,TULLAMARINE FREEWAY ,ESSENDON NORTH,AIRPORT WEST,FW,,MOONEE VALLEY,MELBOURNE METROPOLITAN (CENTRAL),16C10,436J4,line,daily works,0 to 5 min,60,0,1;2;3;4;5;7;6,2018-08-23T03:17:14,2017-04-27T04:26:23,POINT (144.891377840585 -37.7349789489646),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.181403,181403,Road maintenance, road closed,Pending,2018-08-10T10:00:00,2018-09-13T20:00:00,Nightly works between 8:00pm and 6:00am. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,BALLARAT ROAD ,CHURCHILL AVENUE ,ASHLEY STREET ,MAIDSTONE,BRAYBROOK,AO,,MARIBYRNONG,MELBOURNE METROPOLITAN (CENTRAL),27 F12,78 F6,line,daily works,0 to 5 min,40,0,1;2;3;4;7,2018-08-16T00:07:44,2018-07-12T01:19:37,POINT (144.866962705212 -37.7820986383967),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.165933,165933,Road construction, lanes closed outbound,Pending,2018-08-15T10:00:00,2018-10-12T19:00:00,other daily works from 08:00 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,WEST GATE OUT-WESTERN RING OUT RAMP ,WESTERN RING IN-PRINCES OUT RAMP ,ALTONA NORTH,ALTONA NORTH,FW,M1,HOBSONS BAY,MELBOURNE METROPOLITAN (CENTRAL),40 F11,78 F7,line,daily works,0 to 5 min,40,0,1;2;3;4;5;7,2018-08-14T08:01:17,2017-08-24T06:39:56,POINT (144.815778656928 -37.8293203711343),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.160155,160155,Road construction,1 lane closed outbound,Pending,2017-04-19T08:00:00,2018-08-30T23:30:00,Full week including weekends - Sunday to Saturday daily works from 06:00 PM to 09:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,PRINCES OUT-CLYDE RAMP OF,BALD HILL ROAD ,BERWICK,PAKENHAM,FW,M1,"CARDINIA, CASEY",MELBOURNE METROPOLITAN (CENTRAL),111B11,448K9,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-07-31T07:51:36,2017-04-21T00:10:02,POINT (145.419193781656 -38.0767784375255),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.161253,161253,Road construction, entry/exit ramp closed,Active,2018-08-09T10:00:00,2018-08-30T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,TULLAMARINE FREEWAY ,TERMINAL DRIVE ,TULLAMARINE IN-CENTRE RAMP ,MELBOURNE AIRPORT,MELBOURNE AIRPORT,FW,,HUME,MELBOURNE METROPOLITAN (CENTRAL),5D6,426G13,line,daily works,0 to 5 min,40,0,1;2;3;4;5;7;6,2018-08-23T12:28:55,2017-05-16T23:19:03,POINT (144.856423788626 -37.6732731477206),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.163717,163717,Road construction, entry/exit ramp closed,Pending,2018-08-16T10:00:00,2018-08-30T19:00:00,Weekdays only - Monday to Friday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,TULLAMARINE OUT-MICKLEHAM RAMP OF,TULLAMARINE FREEWAY ,MICKLEHAM ROAD ,TULLAMARINE,TULLAMARINE,FW,,HUME,MELBOURNE METROPOLITAN (CENTRAL),5K11,436H2,line,daily works,0 to 5 min,60,0,1;2;3;4;5,2018-08-20T04:08:19,2017-07-10T03:49:44,POINT (144.883683198726 -37.6926874416399),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.163107,163107,Road construction,1 lane closed altona bound,Active,2017-06-26T10:30:00,2018-09-11T20:00:00,other daily works from 08:30 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING ROAD ,KEILOR PARK-WESTERN RING IN RAMP ON,SUNSHINE AVENUE ,KEILOR EAST,SUNSHINE NORTH,FW,M80,BRIMBANK,MELBOURNE METROPOLITAN (CENTRAL),15B12,436F5,line,daily works,0 to 5 min,40,1,1;2;3;4;5;6;7,2018-08-23T10:33:51,2017-06-22T23:50:38,POINT (144.840305632967 -37.7457944404602),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.161089,161089,Road maintenance,1 lane closed both directions,Pending,2017-05-14T23:00:00,2018-08-31T05:30:00,Full week including weekends - Sunday to Saturday daily works from 09:00 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING ROAD ,CALDER IN-WESTERN RING OUT RAMP ,WESTERN RING OUT-SUNSHINE RAMP OF,KEILOR PARK,ST ALBANS,FW,M80,BRIMBANK,MELBOURNE METROPOLITAN (CENTRAL),15E7,436G4,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-07-27T04:07:13,2017-05-12T06:07:19,POINT (144.848557003245 -37.7407863900212),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.163914,163914,Road construction, road closed,Pending,2018-07-09T10:00:00,2019-06-29T20:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,CORRIGAN ROAD ,CRAVEN STREET ,LIGHTWOOD ROAD ,NOBLE PARK,NOBLE PARK,MU,,DANDENONG,MELBOURNE METROPOLITAN (CENTRAL),80D12,448C5,line,daily works,6 to 10 min,40,3,1;2;3;4;5;7;6,2018-08-06T04:14:45,2017-07-12T23:16:17,POINT (145.169184090914 -37.9612898837621),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.174023,174023,Utility works, road closed,Pending,2018-06-16T23:30:00,2019-01-20T04:30:00,Road is closed for gas main renewal works. ,GLENCAIRN AVENUE ,TOORAK ROAD ,KALANG ROAD ,CAMBERWELL,CAMBERWELL,MU,,BOROONDARA,MELBOURNE METROPOLITAN (CENTRAL),60 D5,437 G10,line,daily works,0 to 5 min,40,2,1;2;3;4;5;7;6,2018-06-16T03:35:43,2018-02-21T20:54:35,POINT (145.081232857213 -37.8462841069529),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.165912,165912,Road maintenance,1 lane closed westbound,Pending,2017-11-02T23:00:00,2018-09-26T05:30:00,Weekdays only - Monday to Friday daily works from 10:00 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING ROAD ,SYDNEY ROAD ,HUME-WESTERN RING IN RAMP ON,FAWKNER,GLENROY,FW,M80,"MORELAND, HUME",MELBOURNE METROPOLITAN (CENTRAL),7 F11,78 H5,line,daily works,0 to 5 min,40,1,1;2;3;4;5,2018-02-20T06:48:07,2017-08-24T04:20:01,POINT (144.955359920577 -37.6921303264406),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.150317,150317,Road construction,2 lanes closed greensborough bound,Pending,2016-10-31T10:30:00,2018-09-11T19:00:00,"Up to two lanes closed Greensborough-bound on the EJ Whitten Bridge Friday and Saturday night (1 and 2 Sept) 8.30pm until 5.30am. Roadworks speed limit 40 km/h. Please allow an extra 10-15 minutes, if you're travelling through the area",WESTERN RING ROAD ,SUNSHINE AVENUE ,CALDER FREEWAY ,KEALBA,KEILOR EAST,FW,M80,BRIMBANK,MELBOURNE METROPOLITAN (CENTRAL),26H3,436F5,line,daily works,6 to 10 min,40,2,1;2;3;4;5;7;6,2018-08-19T23:19:57,2016-09-07T05:40:06,POINT (144.848045740532 -37.74116900418),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.166980,166980,Road construction, road closed,Pending,2018-08-15T21:00:00,2019-06-30T09:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 07:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONS PARADE ,HEATHERTON ROAD ,IAN STREET ,NOBLE PARK,NOBLE PARK,MU,,DANDENONG,MELBOURNE METROPOLITAN (CENTRAL),89 E1,448 C5,line,daily works,0 to 5 min,40,0,1;2;3;4;5;7;6,2018-08-21T06:45:06,2017-09-18T00:55:20,POINT (145.175691139441 -37.9659333875151),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.165421,165421,Road maintenance,1 lane closed inbound,Pending,2018-04-30T23:30:00,2018-12-31T04:30:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MORNINGTON PENINSULA FREEWAY ,NEPEAN-PENINSULA LINK IN RAMP ON,MORNINGTON PENINSULA FREEWAY ,SAFETY BEACH,MOUNT MARTHA,FW,M11,MORNINGTON PENINSULA,MELBOURNE METROPOLITAN (CENTRAL),160 D4,94 H7,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-08-23T06:16:21,2017-08-14T03:28:31,POINT (145.029878920409 -38.3020741804976),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.165186,165186,Road construction, entry/exit ramp closed,Active,2018-07-06T11:30:00,2018-08-30T19:00:00,other daily works from 09:30 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,BULLA-CALDER OUT RAMP ON,BULLA ROAD ,CALDER FREEWAY ,ESSENDON NORTH,NIDDRIE,FW,M79,MOONEE VALLEY,MELBOURNE METROPOLITAN (CENTRAL),16 E11,78 G5,line,daily works,0 to 5 min,40,0,3;4;5,2018-08-23T11:51:10,2017-08-09T06:04:08,POINT (144.898678950442 -37.7353932663098),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.165120,165120,Road maintenance,1 lane closed outbound,Pending,2018-04-30T21:00:00,2018-12-31T04:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 03:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MORNINGTON PENINSULA FREEWAY ,MORNINGTON PENINSULA FREEWAY ,NEPEAN HIGHWAY ,TUERONG,DROMANA,FW,M11,MORNINGTON PENINSULA,MELBOURNE METROPOLITAN (CENTRAL),151 K2,95 C6,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-08-14T05:16:06,2017-08-09T00:00:23,POINT (145.028595796572 -38.3031418623959),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.164853,164853,Utility works, entry/exit ramp closed,Pending,2018-07-25T10:00:00,2018-08-30T19:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,KEILOR-CALDER OUT RAMP ON,CALDER OUT-KEILOR RAMP OF,CALDER FREEWAY ,NIDDRIE,NIDDRIE,FW,M79,MOONEE VALLEY,MELBOURNE METROPOLITAN (CENTRAL),15K10,436H4,line,daily works,6 to 10 min,40,0,5,2018-07-27T15:06:31,2017-08-02T04:16:05,POINT (144.881994997273 -37.7333035922418),2018-08-23T15:13:28,2018-08-23T15:15:30.772
